HMDB_ID	Secondary_HMDB_ID	Kegg_ID	metabolite	synonyms_name	Organ and components	Cell and elements	Tissue and substructures	Biofluid and excreta	Subcellular	kingdom	super_class	sub_class	class	associated_gene	Software_Predicted	BioLocation_Summary
HMDB0000305	HMDB00305	C00473	Vitamin A	(2E,4E,6E,8E)-3,7-Dimethyl-9-(2,6,6-trimethylcyclohex-1-en-1-yl)nona-2,4,6,8-tetraen-1-ol; all-trans-Retinyl alcohol; all-trans-Vitamin a alcohol; Alphalin; Chocola a; Retinol; Vitamin a1; Aquasol a; (all-e)-3,7-Dimethyl-9-(2,6,6-trimethyl-1-cyclohexen-1-yl)-2,4,6,8-nonatetraen-1-ol; all-trans-Retinol; b-Retinol; beta-Retinol; trans-Retinol; 3,7-Dimethyl-9-(2,6,6-trimethyl-1-cyclohexen-1-yl)-2,4,6,8-nonatetraen-1-ol, (all-e)-isomer; all trans Retinol; 11-cis-Retinol; Vitamin a	Intestine | Testicle : Testes - Testis | Spleen | Liver | Skin | Kidney : Kidneys	Extracellular : Extracellular region | Cell	Placenta | Adipose tissue : Fat tissue - Body fat - Adipose | Epidermis	Saliva | Blood	Cytoplasm : Cytoplasma | Membrane | Myelin sheath : Myelin | Cell membrane : Cellular membrane	Organic compounds	Lipids and lipid-like molecules	Retinoids	Prenol lipids	DGAT1; RDH5; ADH4; ADH5; ADH1B; ADH7; ADH1A; ADH6; ADH1C; LRAT; HSD17B6; DGAT2; RDH8; RDH11; RDH10; AWAT1; AWAT2; RETSAT; DHRS3; SDR16C5	Compass	Extracellular | Blood
HMDB0001414	HMDB01414	C00134	Putrescine	1,4-Butanediamine; 1,4-Butylenediamine; 1,4-DIAMINOBUTANE; 1,4-Tetramethylenediamine; Butane-1,4-diamine; Butylenediamine; H2N(CH2)4nh2; Putrescin; Putrescina; Putreszin; Tetramethylendiamin; Tetramethylenediamine; 1,4-Butanediammonium; Tetramethyldiamine; 1,4 Diaminobutane; 1,4 Butanediamine	Testicle : Testes - Testis | Brain | Liver | Skin | Prostate : Prostate gland	Cell | Element	Placenta | Muscle	Feces : Fecal - Stool - Faecal - Faeces | Saliva | Urine | Blood | Cerebrospinal fluid : Csf	Mitochondria | Cytoplasm : Cytoplasma	Organic compounds	Organic nitrogen compounds	Amines	Organonitrogen compounds	SAT2; SAT1; PAOX; CHDH; DMGDH; SMS; SRM; ALDH9A1; BBOX1; ABP1; MTAP; AMD1; GATM; BHMT; SARDH; HDC; ODC1; SLC22A4; SMOX; AGMAT; TMLHE; BHMT2; PDPR; OAZ1; PMF1	scFEA;Compass	Blood | Cerebrospinal fluid
HMDB0013032	HMDB13032		Omega-Carboxy-trinor-leukotriene B4	7R,14S-Dihydroxy-1,18-octadec-4,12Z,8,10E-tetraendioate; 7R,14S-Dihydroxy-1,18-octadec-4,12Z,8,10E-tetraendioic acid; 7R,14S-Dihydroxy-1,18-octadec-4,12Z,8,10E-tetraendioic acid anion; Omega-COOH-dinor-LTB(,4); (7S,8E,10E,12Z,14R)-7,14-Dihydroxyoctadeca-4,8,10,12-tetraenedioate		Extracellular : Extracellular region		Urine	Membrane | Cell membrane : Cellular membrane | Cytoplasm : Cytoplasma | Adiposome : Lipid droplet - Lipid body - Lipid particle	Organic compounds	Lipids and lipid-like molecules	Fatty acids and conjugates	Fatty Acyls		Compass	Extracellular
HMDB0000232	HMDB00232	C03722	Quinolinic acid	2,3-Pyridinedicarboxylic acid; Pyridine-2,3-dicarboxylate; 2,3-Pyridinedicarboxylate; Quinolinate; Pyridine-2,3-dicarboxylic acid; 3,4-Pyridinedicarboxylic acid; Pyridin-2,3-dicarbonsaeure; Pyridine-2,3-carboxylate; Quinolinic acid	Brain | Prostate : Prostate gland | Spleen	Cell	Placenta	Urine | Blood | Cerebrospinal fluid : Csf	Cytoplasm : Cytoplasma	Organic compounds	Organoheterocyclic compounds	Pyridinecarboxylic acids and derivatives	Pyridines and derivatives	QPRT; KMO	Compass	Blood | Cerebrospinal fluid
HMDB0000053	HMDB00053	C00280	Androstenedione	4-Androstene-3,17-dione; 4-ANDROSTENE-3-17-dione; delta(4)-Androsten-3,17-dione; delta(4)-Androstene-3,17-dione; Δ(4)-Androsten-3,17-dione; Δ(4)-Androstene-3,17-dione; (4)-Androsten-3,17-dione; 17-Ketotestosterone; 3,17-Dioxoandrost-4-ene; 4-Androsten-3,17-dione; 4-Androstenedione; Androst-4-ene-3,17-dione; Androstendione; D4-Androstene-3,17-dione; delta4-Androstenedione; Fecundin; delta 4 Androstenedione; delta-4-Androstenedione; 4 Androstene 3,17 dione; Androstenedione; delta4-Androstene-3,17-dione; Δ4-Androstene-3,17-dione	Gonad | Testicle : Testes - Testis | Liver | Skin | Prostate : Prostate gland | Kidney : Kidneys | Endocrine gland	Extracellular : Extracellular region | Cell	Placenta | Adipose tissue : Fat tissue - Body fat - Adipose | Muscle | Hepatic tissue : Liver tissue	Urine | Blood | Cerebrospinal fluid : Csf	Cytoplasm : Cytoplasma | Membrane | Endoplasmic reticulum : Er | Cell membrane : Cellular membrane | Mitochondria	Organic compounds	Lipids and lipid-like molecules	Androstane steroids	Steroids and steroid derivatives	AKR1C3; CYP11B1; HSD17B2; HSD17B8; AKR1D1; SRD5A2; SRD5A1; HSD17B3; CYP3A4; CYP2C9; CYP2C19; CYP17A1; CYP2E1; CYP3A43; CYP1B1; CYP2C18; CYP2F1; CYP4X1; CYP2B6; CYP3A5; CYP2A13; CYP3A7; CYP4B1; CYP4Z1; CYP1A2; CYP19A1; CYP2C8; CYP2S1; CYP2J2; CYP2A7; CYP2A6; AR; LEP; HSD17B6; HSD3B1; HSD3B2; CYP11B2; CYP1A1; HSD17B3; CYP17A1; SRD5A3; CYP2D6	Compass	Extracellular | Blood | Cerebrospinal fluid
HMDB0000002	HMDB00002	C00986	1,3-Diaminopropane	1,3-Propanediamine; 1,3-Propylenediamine; Propane-1,3-diamine; tn; Trimethylenediamine; 1,3-Diaminepropane; Trimethylenediamine dihydrochloride; Trimethylenediamine hydrochloride; 1,3-diamino-N-Propane; 1,3-Trimethylenediamine; 3-Aminopropylamine; a,W-Propanediamine; 1,3-Diaminopropane				Feces : Fecal - Stool - Faecal - Faeces | Urine | Blood	Cytoplasm : Cytoplasma	Organic compounds	Organic nitrogen compounds	Amines	Organonitrogen compounds	SMS; DHPS; ABP1; AOC3; AOC2; AMD1; ODC1	Compass	Blood
HMDB0011111	HMDB11111	C00222	Malonic semialdehyde	Malonate semialdehyde; Malonic acid semialdehyde; Formylacetic acid; Formylacetate; 3-Oxopropanoate; 3-Oxopropanoic acid; 3-Oxopropionic acid; Formyl acetate; Formyl acetic acid; Malonaldehydic acid; Malonic semialdehyde sodium salt						Organic compounds	Organic oxygen compounds	Carbonyl compounds	Organooxygen compounds	ALDH6A1; ABAT	Compass	Other
HMDB0002009	HMDB02009	C00877	Crotonoyl-CoA	Crotonyl-CoA; trans-But-2-enoyl-CoA; trans-Butyr-2-enoyl-CoA; 2-Butenoyl-CoA; But-2-enoyl-CoA; (2E)-But-2-enoyl-CoA; Crotonyl-coenzyme A; (e)-But-2-enoyl-CoA; Crotonoyl-CoA; Crotonoyl-coenzyme A; Crotonyl coenzyme A; trans-2-Butenoyl-CoA; trans-2-Butenoyl-coenzyme A; trans-Crotonoyl-CoA; trans-Crotonoyl-coenzyme A; trans-Crotonyl CoA	Liver	Extracellular : Extracellular region		Urine	Membrane | Mitochondria | Peroxisome : Peroxisome vesicle - Peroxisomal | Cell membrane : Cellular membrane | Cytoplasm : Cytoplasma	Organic compounds	Lipids and lipid-like molecules	Fatty acyl thioesters	Fatty Acyls	ACAA2; ACAA1; HADHB; ALDH6A1; ACADL; ACADS; ACADM; ACOX1; ACOX2; IVD; ACOX3; GCDH; LIPC; DGAT1; BCKDHB; BCKDHA; SCD; EHHADH; ECHS1; HADHA; SOAT2; SOAT1; BAAT; ACSL4; ACSL1; ACSL6; ACSL5; ACSL3; GPAM; MECR; PECR; ACOT7; ACOT2; ACOT4; ACOT8; GNPAT; AGPAT3; AGPAT2; AGPAT1; ACADSB; SLC27A2; PPARG; PPARA; PPARD; DBI; FABP3; AGPAT5; SLC27A5; DBT; MOGAT2; SLC27A3; SLC27A1; ACAD10; ACAD11; AGPAT6; ACSM1; DGAT2; AGPAT4; MOGAT1; ACAD8; ACAD9; SLC27A4; FAR1; FAR2; AWAT1; AWAT2; DGAT2L6; DGAT2L7; MOGAT3; LPCAT3; LPCAT1; LCLAT1; LPCAT4; AGPAT9; GLYAT; GLYATL1; GLYATL2; ECI2; AASDH; ACADVL; ACOXL; ACSM6; ACSM2A; ACSM2B; ACSM3; ACSM5; NUDT7; ACSM4; GPAT2; C9orf156; ACOT9; ACSF3; ACOT1; ACOT7L; ACSF2; ACOT11; ACSBG2; ACSBG1; ACBD3; ACBD4; ACBD5; ACAD11; HADHA; KIAA1996; BRL; HADHA; ACBD6; PECI; ACBD5; ACBD7; FABP2	Compass	Extracellular
HMDB0001294	HMDB01294	C01159	2,3-Diphosphoglyceric acid	2,3-Bisphospho-D-glycerate; 2,3-Bisphosphoglyceric acid; 2,3-BPG; 2,3-Disphospho-D-glycerate; D-Greenwald ester; DPG; Glyceric acid bis(dihydrogen phosphate); Glyceric acid diphosphate; 2,3-Bisphospho-D-glyceric acid; 2,3-Bisphosphoglycerate; 2,3-Disphospho-D-glyceric acid; Glycerate bis(dihydrogen phosphate); Glyceric acid bis(dihydrogen phosphoric acid); Glycerate diphosphate; Glyceric acid diphosphoric acid; 2,3-Diphosphoglycerate; (2R)-2,3-Bis(phosphonooxy)-propanoate; (2R)-2,3-Bis(phosphonooxy)-propanoic acid; (R)-2,3-Bis(phosphonooxy)-propanoate; (R)-2,3-Bis(phosphonooxy)-propanoic acid; 2,3-Bis(phosphonooxy)-propanoate; 2,3-Bis(phosphonooxy)-propanoic acid; 2,3-Diphospho-D-glycerate; 2,3-Diphospho-D-glyceric acid; 2,3-Diphospho-D-glyceric acid pentasodium salt; D-Glyceric acid bis; D-Glyceric acid bis(dihydrogen phosphate); Diphosphoglycerate; Diphosphoglyceric acid; Glycerate 2,3-diphosphate; 2,3 Diphosphoglyceric acid; 2,3 Bisphosphoglycerate; 2,3 Diphosphoglycerate; 2,3-DPG; 2,3-Diphosphoglycerate, (D)-isomer; Glycerate 2,3-bisphosphate; 2,3-Bisphosphate, glycerate; (2R)-2,3-Bis(phosphonooxy)propanoic acid; (2R)-2,3-Bis(phosphonooxy)propionic acid; 2,3-Bis(phosphonooxy)propanoic acid; 2,3-Bis(phosphonooxy)propionic acid; 2,3-Diphosphoglyceric acid; 2,3-Diphosphonooxypropanoic acid; 2,3-Diphosphonooxypropionic acid	Testicle : Testes - Testis	Cell		Blood	Cytoplasm : Cytoplasma | Myelin sheath : Myelin	Organic compounds	Organic oxygen compounds	Carbohydrates and carbohydrate conjugates	Organooxygen compounds	BPGM; PGAM2; PGAM4; PGAM1; MINPP1	Compass	Blood
HMDB0012593	HMDB12593		16(S)-hydroxy-18-oxo-18-CoA-LTE4	CoA-18-COOH-16(S)-OH-Dinor-lte(,4); coenzyme A-18-COOH-16(S)-OH-Dinor-lte(,4); 6-[(2-Amino-2-carboxyethyl)sulfanyl]-18-({2-[(3-{[4-({[({[5-(6-amino-9H-purin-9-yl)-4-hydroxy-3-(phosphonooxy)oxolan-2-yl]methoxy}(hydroxy)phosphoryl)oxy](hydroxy)phosphoryl}oxy)-1,2-dihydroxy-3,3-dimethylbutylidene]amino}-1-hydroxypropylidene)amino]ethyl}sulfanyl)-5,16-dihydroxy-18-oxooctadeca-7,9,11-trienoate; 6-[(2-Amino-2-carboxyethyl)sulphanyl]-18-({2-[(3-{[4-({[({[5-(6-amino-9H-purin-9-yl)-4-hydroxy-3-(phosphonooxy)oxolan-2-yl]methoxy}(hydroxy)phosphoryl)oxy](hydroxy)phosphoryl}oxy)-1,2-dihydroxy-3,3-dimethylbutylidene]amino}-1-hydroxypropylidene)amino]ethyl}sulphanyl)-5,16-dihydroxy-18-oxooctadeca-7,9,11-trienoate; 6-[(2-Amino-2-carboxyethyl)sulphanyl]-18-({2-[(3-{[4-({[({[5-(6-amino-9H-purin-9-yl)-4-hydroxy-3-(phosphonooxy)oxolan-2-yl]methoxy}(hydroxy)phosphoryl)oxy](hydroxy)phosphoryl}oxy)-1,2-dihydroxy-3,3-dimethylbutylidene]amino}-1-hydroxypropylidene)amino]ethyl}sulphanyl)-5,16-dihydroxy-18-oxooctadeca-7,9,11-trienoic acid		Extracellular : Extracellular region		Urine	Membrane | Cell membrane : Cellular membrane | Cytoplasm : Cytoplasma	Organic compounds	Lipids and lipid-like molecules	Fatty acyl thioesters	Fatty Acyls		Compass	Extracellular
HMDB0001022	HMDB01022	C00091	Succinyl-CoA	coenzyme A, S-(Hydrogen butanedioate); S-(3-Carboxy-propionyl)-CoA; S-(3-Carboxy-propionyl)-coenzym-a; S-(3-Carboxypropionyl)-coenzyme A; S-(Hydrogen succinyl)-CoA; S-(Hydrogen succinyl)coenzyme A; Succinyl coenzyme A; coenzyme A, S-(Hydrogen butanedioic acid); Succinyl-coenzyme A; S-Succinoylcoenzyme A; Succinyl CoA; Succinyl-CoA	Testicle : Testes - Testis	Extracellular : Extracellular region	Muscle	Urine	Membrane | Mitochondria | Cell membrane : Cellular membrane | Cytoplasm : Cytoplasma	Organic compounds	Lipids and lipid-like molecules	Fatty acyl thioesters	Fatty Acyls	ALAS2; ALAS1; ACAA2; ACAA1; HADHB; DLD; MUT; OGDH; OXCT1; OXCT2; SUCLG1; SUCLG2; DLST; SUCLA2; OGDHL	scFEA;Compass	Extracellular
HMDB0012884	HMDB12884		Adrenochrome	(-)-Adrenochrome; (3R)-2,3-Dihydro-3-hydroxy-1-methyl-1H-indole-5,6-dione; (3R)-3-Hydroxy-1-methyl-2,3,5,6-tetrahydro-1H-indole-5,6-dione; (R)-3-Hydroxy-1-methyl-indoline-5,6-dione; 1-Methyl-3-hydroxy-5,6-dioxo-2,3,5,6-tetrahydroindole; 2,3-Dihydro-3-hydroxy-1-methyl-1H-indole-5,6-dione; 2,3-Dihydro-3-hydroxy-N-methylindole-5,6-quinone; 3-Hydroxy-1-methyl-2,3,5,6-tetrahydro-1H-indole-5,6-dione; 3-Hydroxy-1-methyl-2,3-dihydro-1H-indole-5,6-dione; 3-Hydroxy-1-methyl-2,3-dihydroindole-5,6-dione; 3-Hydroxy-1-methyl-5,6-indolinedione; AdChr; Adrenochrome						Organic compounds	Organoheterocyclic compounds		Indoles and derivatives	GSTT2	Compass	Other
HMDB0001855	HMDB01855		5-Hydroxytryptophol	5-HTOL; 5-Hydroxy-1H-indole-3-ethanol; 5-Hydroxy-1H-indole-3-ethanol(9ci); 5-Hydroxy-3-indole; 5-Hydroxy-3-indoleacetic acid; 5-Hydroxy-indole-acetic acid; 5-Hydroxyindoacetic acid; 5-Hydroxyindol; 5-Hydroxyindolacetate; 5-Hydroxyindolacetic acid; 5-Hydroxyindole-3-ethanol; 5-Hydroxyindole-acetic acid; Hydroxyindoleacetic acid; Hydroxytryptophol				Urine | Blood | Cerebrospinal fluid : Csf		Organic compounds	Organoheterocyclic compounds	Hydroxyindoles	Indoles and derivatives		Compass	Blood | Cerebrospinal fluid
HMDB0006217	HMDB06217	C16682	9-cis-Retinol	(2E,4E,6Z,8E)-3,7-Dimethyl-9-(2,6,6-trimethylcyclohex-1-en-1-yl)nona-2,4,6,8-tetraen-1-ol; (9cis)-Retinol; 9-cis Retinol		Extracellular : Extracellular region			Cytoplasm : Cytoplasma | Membrane | Cell membrane : Cellular membrane	Organic compounds	Lipids and lipid-like molecules	Retinoids	Prenol lipids		Compass	Extracellular
HMDB0003938	HMDB03938	C05264	(S)-Hydroxydecanoyl-CoA	(S)-3-Hydroxydecanoyl-CoA; (S)-3-Hydroxydecanoyl-coenzyme A; 3-Hydroxydecanoyl-CoA; 3-Hydroxydecanoyl-coenzyme A; 3S-Hydroxy-decanoyl-CoA; 3S-Hydroxy-decanoyl-coenzyme A; b-Hydroxydecanoyl coenzyme A; beta-Hydroxydecanoyl coenzyme A; DL-b-Hydroxydecanoyl coenzyme A; DL-beta-Hydroxydecanoyl coenzyme A; S-(3-Hydroxydecanoate; S-(3-Hydroxydecanoate) CoA; S-(3-Hydroxydecanoate) coenzyme A; S-(3-Hydroxydecanoate)CoA; S-(3-Hydroxydecanoate)coenzyme A; S-(3-Hydroxydecanoic acid; 3-Hydroxydecanoyl-coenzyme A, (R)-isomer		Extracellular : Extracellular region		Urine	Membrane | Cell membrane : Cellular membrane | Cytoplasm : Cytoplasma	Organic compounds	Lipids and lipid-like molecules	Fatty acyl thioesters	Fatty Acyls	HSD17B10; EHHADH; HADH; ECHS1; HADHA; HSD17B4	Compass	Extracellular
HMDB0001426	HMDB01426	C00067	Formaldehyde	Formaldehyd; FORMALIN; Methanal; Methylene oxide; Oxomethane; Oxomethylene; Hyperband; Formol; Methaldehyde; Methylene glycol; Aldeide formica; Fannoform; Formalina; Formaline; Formalith; Formic aldehyde; Paraform	Gonad | Intestine | Bone marrow | Bladder | Liver | Prostate : Prostate gland | Pancreas | Brain | Lung : Lungs | Skin | Kidney : Kidneys | Endocrine gland	Cell | Element	Adipose tissue : Fat tissue - Body fat - Adipose | Placenta | Skeletal muscle : Striated muscle | Muscle	Urine | Blood	Cytoplasm : Cytoplasma | Mitochondria | Lysosome | Peroxisome : Peroxisome vesicle - Peroxisomal | Myelin sheath : Myelin	Organic compounds	Organic oxygen compounds	Carbonyl compounds	Organooxygen compounds	PIPOX; DMGDH; LPO; PRDX6; MPO; EPX; AOC3; AOC2; SARDH; CYP3A4; CYP2C9; CYP2C19; CYP2E1; CYP3A43; CYP1B1; CYP2C18; CYP2F1; CYP4X1; CYP2B6; CYP3A5; CYP2A13; CYP3A7; CYP4B1; CYP4Z1; CYP1A2; CYP19A1; CYP2C8; CYP2S1; CYP2J2; CYP2A7; CYP2A6; CAT; CYP1A1; ALKBH2; KDM2A; KDM2B; CYP2D6; ALKBH1; KDM8; NO66; PHF8	Compass	Blood
HMDB0004083	HMDB04083	C05645	4-(2-Amino-3-hydroxyphenyl)-2,4-dioxobutanoic acid	2-Amino-3-hydroxy-alpha,gamma-dioxobenzenebutanoic acid; 2-Amino-3-hydroxy-a,g-dioxobenzenebutanoate; 2-Amino-3-hydroxy-a,g-dioxobenzenebutanoic acid; 2-Amino-3-hydroxy-alpha,gamma-dioxobenzenebutanoate; 2-Amino-3-hydroxy-α,γ-dioxobenzenebutanoate; 2-Amino-3-hydroxy-α,γ-dioxobenzenebutanoic acid; 4-(2-Amino-3-hydroxyphenyl)-2,4-dioxobutanoate				Feces : Fecal - Stool - Faecal - Faeces		Organic compounds	Organic oxygen compounds	Carbonyl compounds	Organooxygen compounds	AADAT; CCBL1; AADAT; CCBL2	Compass	Other
HMDB0006406	HMDB06406	C12448	Ecgonine methyl ester	Methyl ecgonine				Blood	Endoplasmic reticulum : Er	Organic compounds	Alkaloids and derivatives		Tropane alkaloids	LIPA; CES1; CES2; CES5A	Compass	Blood
HMDB0006227	HMDB06227		1-a,24R,25-Trihydroxyvitamin D2	(24R)-1alpha,24,25-Trihydroxyergocalciferol; (24R)-1alpha,24,25-Trihydroxyvitamin D2; (5Z,7E,22E)-(1S,3R,24R)-9,10-Seco-5,7,10(19),22-ergostatetraene-1,3,24,25-tetrol; 1-alpha,24R,25-Trihydroxyvitamin D2; 1,24,25-Trihydroxyergocalciferol; 1,24,25-Trihydroxyvitamin D2; (24R)-1a,24,25-Trihydroxyvitamin D2 / (24R)-1a,24,25-trihydroxyergocalciferol; (24R)-1Α,24,25-trihydroxyvitamin D2 / (24R)-1α,24,25-trihydroxyergocalciferol		Extracellular : Extracellular region	Hepatic tissue : Liver tissue	Urine	Membrane | Mitochondria | Cell membrane : Cellular membrane | Cytoplasm : Cytoplasma	Organic compounds	Lipids and lipid-like molecules	Vitamin D and derivatives	Steroids and steroid derivatives		Compass	Extracellular
HMDB0000265	HMDB00265	C02465	Liothyronine	3,5,3'-Triiodo-L-thyronine; 3,5,3'-Triiodothyronine; 3,5,3'TRIIODOTHYRONINE; 4-(4-Hydroxy-3-iodophenoxy)-3,5-diiodo-L-phenylalanine; L-3,5,3'-Triiodothyronine; L-T3; Liothyroninum; Liotironina; O-(4-Hydroxy-3-iodophenyl)-3,5-diiodo-L-tyrosine; T3; Tertroxin; Tresitope; Triiodothyronine; 3,3',5-Triiodo-L-thyronine; Thyrolar; 3,3',5-Triiodothyronine; Cytomel; T3 Thyroid hormone; Thyroid hormone, T3; Liothyronine sodium; 3,3',5'-Triiodo-L-thyronine; 3,3',5'-Triiodothyronine; 4-(4-Hydroxy-3-iodophenoxy)-3,5-diiodophenylalanine; Cyronine; L-3,3',5-Triiodo-thyronine; L-3,3',5-Triiodothyronine; L-3-[4-(4-Hydroxy-3-iodophenoxy)-3,5-diiodophenyl]-alanine; L-Liothyronine; L-Triiodothyronine; Liothyronin; Triiodo-L-thyronine	Intestine | Testicle : Testes - Testis | Endocrine gland	Extracellular : Extracellular region | Element | Cell	Placenta | Epidermis | Skeletal muscle : Striated muscle | Adipose tissue : Fat tissue - Body fat - Adipose	Urine | Saliva | Blood	Cytoplasm : Cytoplasma | Membrane | Cell membrane : Cellular membrane	Organic compounds	Organic acids and derivatives	Amino acids, peptides, and analogues	Carboxylic acids and derivatives	TPO; DIO1; DIO2; TTR; ALB; SERPINA7; THRB; DIO3; THRA	Compass	Extracellular | Blood
HMDB0001367	HMDB01367	C04256	N-Acetyl-glucosamine 1-phosphate	2-(Acetylamino)-2-deoxy-D-glucopyranose 1-(dihydrogen phosphate); 2-Acetamido-2-deoxy-1-O-phosphono-D-glucopyranose; N-Acetyl-D-glucosamine 1-phosphate; N-Acetylglucosamine-1-phosphate; 2-(Acetylamino)-2-deoxy-D-glucopyranose 1-(dihydrogen phosphoric acid); N-Acetyl-D-glucosamine 1-phosphoric acid; N-Acetylglucosamine-1-phosphoric acid; N-Acetyl-glucosamine 1-phosphoric acid; D-Glucosamine 1-phosphate; delta-Glucosamine 1-phosphate; N-Acetyl-alpha-D-glucosamine 1-phosphate; N-Acetyl-alpha-delta-glucosamine 1-phosphate; N-Acetyl-delta-glucosamine 1-phosphate; N-Acetyl-glucosamine-1-phosphate; GlcNAc-1-phosphate			Placenta	Saliva	Cytoplasm : Cytoplasma	Organic compounds	Organic oxygen compounds	Carbohydrates and carbohydrate conjugates	Organooxygen compounds	UAP1; PGM3; UAP1L1	Compass	Other
HMDB0001062	HMDB01062	C00357	N-Acetyl-D-Glucosamine 6-Phosphate	2-Acetamido-2-deoxy-6-O-phosphono-D-glucopyranose; N-Acetyl-D-glucosamine 6-phosphoric acid; N-Acetyl-D-glucosamine-6-p; N-Acetyl-D-glucosamine-6-phosphate; N-Acetyl-glucosamine-6-p; N-Acetyl-glucosamine-6-phosphate; N-Acetylglucosamine-6-p; N-Acetylglucosamine 6-phosphate; GlcNAc6p				Saliva	Cytoplasm : Cytoplasma	Organic compounds	Organic oxygen compounds	Carbohydrates and carbohydrate conjugates	Organooxygen compounds	GNPNAT1; GNPDA1; NAGK; PGM3; AMDHD2; GNPDA2	Compass	Other
HMDB0000452	HMDB00452	C02356	L-alpha-Aminobutyric acid	(-)-2-Aminobutyric acid; (2S)-2-Aminobutyric acid; (S)-2-Aminobutanoate; (S)-2-Aminobutanoic acid; (S)-2-Aminobutyric acid; L-(+)-2-Aminobutyric acid; L-2-Aminobuttersaeure; L-2-Aminobutyric acid; L-alpha-Amino-N-butyric acid; L-Butyrine; S-Butyrine; (-)-2-Aminobutyrate; (2S)-2-Aminobutyrate; (S)-2-Aminobutyrate; L-(+)-2-Aminobutyrate; L-2-Aminobutyrate; L-a-Amino-N-butyrate; L-a-Amino-N-butyric acid; L-alpha-Amino-N-butyrate; L-Α-amino-N-butyrate; L-Α-amino-N-butyric acid; L-a-Aminobutyrate; L-a-Aminobutyric acid; L-alpha-Aminobutyrate; L-Α-aminobutyrate; L-Α-aminobutyric acid; (+)-2-Aminobutanoate; (+)-2-Aminobutanoic acid; (+)-2-Aminobutyric acid; (+)-alpha-Aminobutyric acid; (2S)-2-Aminobutanoate; (2S)-2-Aminobutanoic acid; (S)-(+)-alpha-Aminobutyric acid; (S)-2-amino-Butanoate; (S)-2-amino-Butanoic acid; 2-Aminobutanoate; 2-Aminobutanoic acid; 2-Aminobutyrate; 2S-amino-Butanoate; 2S-amino-Butanoic acid; alpha-Aminobutyric acid; L-2-amino-N-Butyric acid; L-Ethylglycine; Butyrine, (R)-isomer; 2-Aminobutyric acid; alpha-Aminobutyric acid, (+-)-isomer; Butyrine; Butyrine, (S)-isomer; L-Homoalanine; alpha-Aminobutyric acid, (S)-isomer; Homoalanine; alpha-Aminobutyric acid, (R)-isomer; Butyrine, (+-)-isomer; L-2-Aminobutanoate	Liver | Kidney : Kidneys			Feces : Fecal - Stool - Faecal - Faeces | Urine | Blood | Breast milk | Cerebrospinal fluid : Csf	Cytoplasm : Cytoplasma	Organic compounds	Organic acids and derivatives	Amino acids, peptides, and analogues	Carboxylic acids and derivatives	GATM; EGF	Compass	Blood | Cerebrospinal fluid
HMDB0001453	HMDB01453	C01755	Thiocyanate	[S-C#N](-); N#C-S(-); Rhodanid; Rhodanide; SCN(-); THIOCYANATE ion; Thiocyanate ion (1-); Thiozyanat; THIOCYANic acid ion; Thiocyanic acid ion (1-); Thiocyanic acid; SCN; Ammonium sulfocyanate; HSCN; Hydrogen thiocyanate; Nitridosulfanidocarbon; Silver thiocyanate agscn; Thallium thiocyanate; Thiocyanid; Weedazol TL; Thiocyanogen ((SCN)2(1-)); Thiocyanate ion (2-)		Extracellular : Extracellular region		Urine | Feces : Fecal - Stool - Faecal - Faeces | Saliva | Blood | Cerebrospinal fluid : Csf	Cytoplasm : Cytoplasma | Mitochondria	Organic compounds	Organosulfur compounds		Thiocyanates	MPST; TST; TSTD1	Compass	Extracellular | Blood | Cerebrospinal fluid
HMDB0002062	HMDB02062		Norepinephrine sulfate	Norepinephrine sulfuric acid; Norepinephrine sulphate; Norepinephrine sulphuric acid; Noradrenaline sulfate; Noradrenaline sulfoconjugate; Noradrenaline sulphate; Norepinephrine-3-O-sulfate; Norepinephrine-3-O-sulphate; Norepinephrine-O-sulfate; Norepinephrine-O-sulphate; {4-[(1R)-2-amino-1-hydroxyethyl]-2-hydroxyphenyl}oxidanesulfonate; {4-[(1R)-2-amino-1-hydroxyethyl]-2-hydroxyphenyl}oxidanesulphonate; {4-[(1R)-2-amino-1-hydroxyethyl]-2-hydroxyphenyl}oxidanesulphonic acid; Norepinephrine sulfate	Liver | Kidney : Kidneys			Urine | Blood	Cytoplasm : Cytoplasma	Organic compounds	Organic acids and derivatives	Arylsulfates	Organic sulfuric acids and derivatives		Compass	Blood
