mouse_gene,human_gene
Rpgrip1l,RPGRIP1L
Nlgn4l,NLGN4X
Nlgn4l,NLGN4Y
Ifi35,IFI35
Mybpc2,MYBPC2
Ppfia3,PPFIA3
Gpr75,GPR75
Psme4,PSME4
Ablim2,ABLIM2
Afap1,AFAP1
Odad2,ODAD2
Map3k8,MAP3K8
Abcc6,ABCC6
Ptk7,PTK7
Cep20,CEP20
Abcc1,ABCC1
Rgl3,RGL3
Rasal3,RASAL3
Hsd11b1,HSD11B1
Phldb3,PHLDB3
Ccdc175,CCDC175
Cd3eap,POLR1G
Cdr2,CDR2
Mosmo,MOSMO
Prr13,PRR13
F2rl1,F2RL1
Rxfp1,RXFP1
Ttc37,TTC37
Mctp1,MCTP1
2210408I21Rik,KIAA0825
Mfn2,MFN2
Rnf167,RNF167
Ap1m1,AP1M1
Gphn,GPHN
F2rl2,F2RL2
Csrnp2,CSRNP2
P4htm,P4HTM
Cass4,CASS4
Fam120a,FAM120A
Ppp1r3d,PPP1R3D
Prrc2b,PRRC2B
Nup214,NUP214
Qsox2,QSOX2
Gpsm1,GPSM1
Samd5,SAMD5
Aff1,AFF1
Gm614,CXorf65
Plekhg5,PLEKHG5
Smc6,SMC6
Kcnk7,KCNK7
Eml3,EML3
Peli3,PELI3
Ost4,OST4
Tmem214,TMEM214
Osbpl8,OSBPL8
Glipr1,GLIPR1
Akt3,AKT3
Peli1,PELI1
Smoc1,SMOC1
Alg10b,ALG10
Alg10b,ALG10B
Fam161a,FAM161A
Pdzd8,PDZD8
Abcc5,ABCC5
Map2k4,MAP2K4
Map2k7,MAP2K7
Nfil3,NFIL3
Hlf,HLF
Mrpl52,MRPL52
Ppp2r5b,PPP2R5B
Mtpap,MTPAP
Ssbp3,SSBP3
Abhd16b,ABHD16B
Abhd16a,ABHD16A
Dlgap4,DLGAP4
Xrra1,XRRA1
Sharpin,SHARPIN
Tmem26,TMEM26
Synpo2,SYNPO2
Usp53,USP53
Rap1gds1,RAP1GDS1
Angpt4,ANGPT4
Stmn3,STMN3
Xkr8,XKR8
Anks1,ANKS1A
Mical2,MICAL2
Cyp2r1,CYP2R1
Micall2,MICALL2
Micall1,MICALL1
Slc43a3,SLC43A3
Ctnnd1,CTNND1
Slc16a6,SLC16A6
P2ry12,P2RY12
P2ry13,P2RY13
Rnf212,RNF212
Jakmip1,JAKMIP1
Dgke,DGKE
Gm525,C17orf67
Steap4,STEAP4
Haus3,HAUS3
Cables1,CABLES1
Slc25a38,SLC25A38
Zbtb24,ZBTB24
Tmie,TMIE
L3mbtl4,L3MBTL4
Tmem200c,TMEM200C
Rinl,RINL
Lhfpl4,LHFPL4
Meox2,MEOX2
Zfp212,ZNF212
Zfp574,ZNF574
Evi5,EVI5
Kl,KL
Ccl25,CCL25
Lamc2,LAMC2
Adamts3,ADAMTS3
Lrrc18,LRRC18
Cdkn2d,CDKN2D
Rps19bp1,RPS19BP1
Ccdc66,CCDC66
Ip6k1,IP6K1
Ip6k3,IP6K3
Atp6ap1l,ATP6AP1L
Cep83,CEP83
Pot1a,POT1
Pot1b,POT1
Ecrg4,ECRG4
Man2a2,MAN2A2
Slc19a1,SLC19A1
Ube2o,UBE2O
Mgrn1,MGRN1
Lat,LAT
Dchs2,DCHS2
Pxmp4,PXMP4
Bmerb1,BMERB1
Pik3r6,PIK3R6
Nat8f1,NAT8
Nat8,NAT8
Nat8,NAT8B
Nat8f4,NAT8
Nat8f2,NAT8
Nat8f5,NAT8
Nat8f7,NAT8
Nat8b-ps,NAT8
Nat8b-ps,NAT8B
Nat8f6,NAT8
Cbs,CBS
Pitpnc1,PITPNC1
Onecut3,ONECUT3
Xylt1,XYLT1
Pitrm1,PITRM1
Cftr,CFTR
Kif6,KIF6
Ubb,UBB
Ubc,UBC
Micu1,MICU1
Yap1,YAP1
Pde3b,PDE3B
Lyn,LYN
Ptp4a3,PTP4A3
Gabra5,GABRA5
Igsf21,IGSF21
Hspb7,HSPB7
Hspb8,HSPB8
Thpo,THPO
Slc2a2,SLC2A2
Jam2,JAM2
Mpeg1,MPEG1
Rpl10a,RPL10A
Rab1b,RAB1B
Rab1b,RAB1C
Rab3a,RAB3A
Rab4b,RAB4B
Rab5a,RAB5A
Rab5b,RAB5B
Irf2bpl,IRF2BPL
Tmem88,TMEM88
Cldn5,CLDN5
Snx5,SNX5
Chuk,CHUK
Pacsin2,PACSIN2
Arf1,ARF1
Lamp1,LAMP1
Bin1,BIN1
Ehd1,EHD1
Ehd2,EHD2
Rab10,RAB10
Rab11a,RAB11A
Rab11b,RAB11B
Rab12,RAB12
Rab14,RAB14
Rab15,RAB15
Rab18,RAB18
Rab1a,RAB1A
Rab20,RAB20
Rab23,RAB23
Rab24,RAB24
Rab25,RAB25
Rab27a,RAB27A
Rab28,RAB28
Rab2a,RAB2A
Rab30,RAB30
Rab33a,RAB33A
Rab33b,RAB33B
Rab34,RAB34
Rab35,RAB35
Rab39b,RAB39B
Rab40c,RAB40C
Rab42,RAB42
Rab5c,RAB5C
Rab6a,RAB6A
Rab9,RAB9A
Rab21,RAB21
Epg5,EPG5
Igsf9,IGSF9
Srsf10,SRSF10
Frmpd4,FRMPD4
Alg5,ALG5
Galnt3,GALNT3
Ppp1r27,PPP1R27
Phtf2,PHTF2
Smad9,SMAD9
Mettl7a1,METTL7A
Rpl37rt,RPL37
Dnal1,DNAL1
S100a10,S100A10
Slc35a3,SLC35A3
Hdac8,HDAC8
Foxo6,FOXO6
Tcam1,TCAM1P
Icam2,ICAM2
Icam4,ICAM4
Gimap8,GIMAP8
H3f3b,H3-3B
Nlrp4e,NLRP4
Nlrp12,NLRP12
Nlrp4c,NLRP4
Nlrp4a,NLRP4
Nlrp14,NLRP14
Nlrp9b,NLRP9
Nlrp9c,NLRP9
Nlrp2,NLRP2
Nlrp2,NLRP7
Nlrp3,NLRP3
Nlrp6,NLRP6
Nlrp9a,NLRP9
Nlrp5,NLRP5
Nlrp4b,NLRP4
Lrfn3,LRFN3
Cyth1,CYTH1
Mbl1,MBL1P
Sftpd,SFTPD
Pla1a,PLA1A
Pdxk,PDXK
Zbed6,ZBED6
Ptar1,PTAR1
Tmc2,TMC2
Arid4b,ARID4B
Ninl,NINL
Paox,PAOX
Apcs,APCS
Endod1,ENDOD1
Hp,HP
Hp,HPR
Cyp46a1,CYP46A1
Ints3,INTS3
Slc37a4,SLC37A4
Zfp184,ZNF184
Egln1,EGLN1
Col19a1,COL19A1
Npas4,NPAS4
Dleu7,DLEU7
Pafah1b3,PAFAH1B3
Siglec15,SIGLEC15
Cfap74,CFAP74
Ebf3,EBF3
AU021092,C16orf89
Riiad1,RIIAD1
Ccs,CCS
Matr3,MATR3
Pkd1l2,PKD1L2
Fbxo11,FBXO11
Scg5,SCG5
Ccdc134,CCDC134
Ebf1,EBF1
Apoa4,APOA4
Mdfic,MDFIC
Agbl4,AGBL4
Camk2n1,CAMK2N1
Plxdc1,PLXDC1
Mtmr3,MTMR3
Sike1,SIKE1
Soga3,SOGA3
9330159F19Rik,KIAA0408
Tmem236,TMEM236
Htra2,HTRA2
Grm3,GRM3
Pappa2,PAPPA2
Irf1,IRF1
Acbd5,ACBD5
1700019D03Rik,C2orf88
Phka1,PHKA1
Col11a1,COL11A1
Slc4a5,SLC4A5
Gpr142,GPR142
Dynlrb1,DYNLRB1
Trhde,TRHDE
Impg2,IMPG2
Zwint,ZWINT
Lsp1,LSP1
Cfap418,CFAP418
Alkbh3,ALKBH3
Tbc1d12,TBC1D12
Tmc1,TMC1
Prf1,PRF1
Tmem107,TMEM107
Adgre5,ADGRE2
Adgre5,ADGRE5
Basp1,BASP1
Castor1,CASTOR1
Pnpla7,PNPLA7
Elob,ELOB
Tdrd9,TDRD9
Svop,SVOP
Pon2,PON2
Pon3,PON3
Oscp1,OSCP1
Cfap77,CFAP77
Iscu,ISCU
Spopl,SPOPL
Cchcr1,CCHCR1
Msrb1,MSRB1
Ms4a1,MS4A1
Cd59b,CD59
Cd59a,CD59
Naa40,NAA40
Gimap4,GIMAP4
Pip4p1,PIP4P1
Ccsap,CCSAP
Gm13889,C11orf96
Tnfrsf14,TNFRSF14
Fgfbp1,FGFBP1
Ccdc136,CCDC136
Iqcb1,IQCB1
Mutyh,MUTYH
Ino80e,INO80E
Alx1,ALX1
Gucy1b1,GUCY1B1
Plin5,PLIN5
Plin3,PLIN3
Nadsyn1,NADSYN1
AI987944,ZNF101
2010315B03Rik,ZNF101
Pllp,PLLP
Socs1,SOCS1
Flrt2,FLRT2
Tmem8b,TMEM8B
Pthlh,PTHLH
Pom121l2,POM121L2
Pom121,POM121
Pom121,POM121B
Pom121,POM121C
Pard3b,PARD3B
Acy1,ACY1
Ifit3b,IFIT3
Ifit3,IFIT3
Ifit1bl1,IFIT1
Ifit1bl1,IFIT1B
Ifit1,IFIT1
Ifit1,IFIT1B
Ifit1bl2,IFIT1B
Ifit2,IFIT2
Cyp3a59,CYP3A4
Cyp3a59,CYP3A43
Cyp3a59,CYP3A5
Cyp3a13,CYP3A4
Cyp3a13,CYP3A43
Cyp3a13,CYP3A5
Cyp3a13,CYP3A7-CYP3A51P
Cyp3a16,CYP3A43
Cyp3a16,CYP3A5
Cyp3a57,CYP3A4
Cyp3a57,CYP3A43
Cyp3a57,CYP3A5
Cyp3a11,CYP3A4
Cyp3a11,CYP3A43
Cyp3a11,CYP3A5
Cyp3a44,CYP3A4
Cyp3a44,CYP3A43
Cyp3a44,CYP3A5
Cyp3a25,CYP3A4
Cyp3a25,CYP3A43
Cyp3a25,CYP3A5
Cyp3a41a,CYP3A4
Cyp3a41a,CYP3A43
Cyp3a41a,CYP3A5
B3gnt2,B3GNT2
Triqk,TRIQK
Ppt2,PPT2
Lsm10,LSM10
Fbxw19,FBXW12
Fbxw14,FBXW12
Fbxw18,FBXW12
Fbxw21,FBXW12
Fbxw16,FBXW12
Fbxw13,FBXW12
Fbxw20,FBXW12
Fbxw26,FBXW12
Fbxw24,FBXW12
Fbxw22,FBXW12
Fbxw15,FBXW12
Npffr1,NPFFR1
Edn3,EDN3
Mybphl,MYBPHL
Mybph,MYBPH
Dio3,DIO3
Pou2f2,POU2F2
Adgrl2,ADGRL2
Mbd5,MBD5
R3hdm4,R3HDM4
Ublcp1,UBLCP1
Dus2,DUS2
Tubb2a,TUBB2A
Cul1,CUL1
Efemp1,EFEMP1
S100b,S100B
Mill2,MICA
Mill2,MICB
Azgp1,AZGP1
H2-Q6,HLA-E
H2-Q6,HLA-F
H2-Q6,HLA-G
Hfe,HFE
Ddx47,DDX47
Smu1,SMU1
Pno1,PNO1
Trhr,TRHR
Trim75,TRIM75
Trim7,TRIM7
Pkp4,PKP4
Rbm5,RBM5
Fzr1,FZR1
Lrrc4b,LRRC4B
Hlcs,HLCS
Cyb5d1,CYB5D1
Tcim,TCIM
Ubr5,UBR5
Fgb,FGB
Ppp2r2c,PPP2R2C
S100z,S100Z
Vps35l,VPS35L
Gsg1l2,GSG1L2
Thoc6,THOC6
Lamc3,LAMC3
Myo1b,MYO1B
Hibadh,HIBADH
Kcnj6,KCNJ6
Senp6,SENP6
Hsd3b7,HSD3B7
Gpr52,GPR52
Gpr21,GPR21
Gpr20,GPR20
Wfikkn2,WFIKKN2
Ogfod3,OGFOD3
Exosc10,EXOSC10
Spag9,SPAG9
Pakap,PALM2AKAP2
Plac8,PLAC8
Srpk2,SRPK2
Dusp13,DUSP13
Proca1,PROCA1
Pla2g3,PLA2G3
Ypel2,YPEL2
Csdc2,CSDC2
Fam222b,FAM222B
Galnt17,GALNT17
Nampt,NAMPT
Sypl,SYPL1
Stxbp4,STXBP4
Iqub,IQUB
Grm8,GRM8
Fgd4,FGD4
Cd44,CD44
Ntng2,NTNG2
Arhgap9,ARHGAP9
Npc1l1,NPC1L1
Susd4,SUSD4
Brd8,BRD8
Gfra3,GFRA3
Shprh,SHPRH
Numa1,NUMA1
Cdhr5,CDHR5
Gusb,GUSB
Rcor2,RCOR2
Hace1,HACE1
Ets1,ETS1
Rasa1,RASA1
Ppp1ca,PPP1CA
Fh1,FH
Sema4c,SEMA4C
Lrrc3b,LRRC3B
Cd276,CD276
Rab7,RAB7A
Rab43,RAB43
Cdkn2a,CDKN2A
Cdkn2b,CDKN2B
Spred1,SPRED1
Kank3,KANK3
Kank4,KANK4
Pacc1,PACC1
Gbgt1,GBGT1
Ifi44l,IFI44L
Mtm1,MTM1
Dysf,DYSF
Dnm2,DNM2
Eea1,EEA1
Il15ra,IL15RA
Abhd10,ABHD10
Sfmbt1,SFMBT1
Parp10,PARP10
Prr5,PRR5
Pibf1,PIBF1
Arf2,ARF1
Arf2,ARF2P
Pwwp3a,PWWP3A
Pwwp3b,PWWP3B
Rfc1,RFC1
Ifi44,IFI44
Slc27a2,SLC27A2
Dkk3,DKK3
Klf9,KLF9
Tshr,TSHR
Tbc1d9,TBC1D9
Arl10,ARL10
Htra3,HTRA3
Taok2,TAOK2
Ccdc39,CCDC39
Tlcd3b,TLCD3B
Wnk4,WNK4
Fam117a,FAM117A
Fam171a2,FAM171A2
Ago2,AGO2
Cntd1,CNTD1
Gfral,GFRAL
Cbx6,CBX6
Armc3,ARMC3
Ncor1,NCOR1
Tectb,TECTB
Atoh8,ATOH8
Cartpt,CARTPT
Map1lc3b,MAP1LC3B
Map1lc3b,MAP1LC3B2
Trps1,TRPS1
Sdc3,SDC3
Map1lc3a,MAP1LC3A
Tcf21,TCF21
Cox8b,COX8BP
3830406C13Rik,C3orf14
Zfp219,ZNF219
Arhgef40,ARHGEF40
Tex9,TEX9
Fhod1,FHOD1
Cln6,CLN6
B4galt3,B4GALT3
Tmem97,TMEM97
Pipox,PIPOX
Omg,OMG
Phf12,PHF12
Sez6,SEZ6
Spink2,SPINK2
Tub,TUB
L3mbtl1,L3MBTL1
Nr0b2,NR0B2
Orai1,ORAI1
Lrrc75b,LRRC75B
Svep1,SVEP1
Mmp25,MMP25
Topors,TOPORS
Col5a3,COL5A3
Mrpl16,MRPL16
Hspa1b,HSPA1B
Hspa1l,HSPA1L
Hspa1a,HSPA1A
Hspa1a,HSPA1B
Lcmt2,LCMT2
Ttll4,TTLL4
Ttll2,TTLL2
Ttll5,TTLL5
Ttll9,TTLL9
Rprd2,RPRD2
Adamtsl4,ADAMTSL4
Pdpr,PDPR
Tapbp,TAPBP
Myl12b,MYL12A
Myl12b,MYL12B
Myl12a,MYL12A
Oxtr,OXTR
Tox3,TOX3
Foxn2,FOXN2
Wipf1,WIPF1
Gpr155,GPR155
Mid1,MID1
Abcb5,ABCB5
Spred2,SPRED2
Fscn2,FSCN2
Cc2d1a,CC2D1A
Ccdc28a,CCDC28A
Intu,INTU
Rnf39,RNF39
Trim61,TRIM61
Trim10,TRIM10
Triml2,TRIML2
Trim6,TRIM6
Trim12c,TRIM5
Trim40,TRIM40
Trim30a,TRIM5
Trim30d,TRIM5
Mefv,MEFV
Trim5,TRIM5
Trim34a,TRIM34
Trim34a,TRIM6-TRIM34
Triml1,TRIML1
Traf3ip2,TRAF3IP2
Rab3il1,RAB3IL1
Svil,SVIL
Ankrd49,ANKRD49
Uevld,UEVLD
Dcdc2b,DCDC2B
Dcdc2a,DCDC2
Npm3,NPM3
Lats2,LATS2
Rnf145,RNF145
Myoz3,MYOZ3
Hmgxb3,HMGXB3
Lgr4,LGR4
Fbxl17,FBXL17
Hook3,HOOK3
Bbln,BBLN
Klf4,KLF4
Chrng,CHRNG
Chrne,CHRNE
Fam89a,FAM89A
Zc2hc1c,ZC2HC1C
Rps6kl1,RPS6KL1
Vash1,VASH1
Angel1,ANGEL1
Erg28,ERG28
Efcab7,EFCAB7
Agap3,AGAP3
Noct,NOCT
Pwwp2b,PWWP2B
Mmp20,MMP20
Proser1,PROSER1
Cep152,CEP152
Duoxa2,DUOXA2
Duoxa1,DUOXA1
Fam207a,SLX9
Spata5,SPATA5
Myof,MYOF
Sema4g,SEMA4G
Gal,GAL
Kcnk10,KCNK10
Nrde2,NRDE2
Cd302,CD302
Parg,BPHL
Parg,PARG
Lrrc73,LRRC73
Arsb,ARSB
Trir,TRIR
Prkcd,PRKCD
Mustn1,MUSTN1
Tmcc1,TMCC1
Ogdhl,OGDHL
Mars2,MARS2
Nck2,NCK2
Col28a1,COL28A1
Greb1l,GREB1L
Fbrs,FBRS
Afap1l1,AFAP1L1
Dusp3,DUSP3
Mast3,MAST3
Mfap3,MFAP3
Mfap3l,MFAP3L
Cacng5,CACNG5
Cacng4,CACNG4
Meiob,MEIOB
Cep112,CEP112
Il17rc,IL17RC
Gpr4,GPR4
Gipr,GIPR
Il17re,IL17RE
Kcnk12,KCNK12
Slc16a2,SLC16A2
Tmem74b,TMEM74B
Ush1c,USH1C
Ppp1r1b,PPP1R1B
Fam83c,FAM83C
Lpar3,LPAR3
Klhl3,KLHL3
Bnip1,BNIP1
Crebrf,CREBRF
Pcdh1,PCDH1
Pcdh7,PCDH7
Arhgap44,ARHGAP44
Zmiz1,ZMIZ1
Mapkbp1,MAPKBP1
Akap6,AKAP6
Tpbgl,TPBGL
Fat2,FAT2
Fam193b,FAM193B
Mblac1,MBLAC1
Trappc14,TRAPPC14
Fam183b,FAM183A
Fam183b,FAM183BP
Clec3a,CLEC3A
Ambra1,AMBRA1
Dgkz,DGKZ
Mpped1,MPPED1
Etfbkmt,ETFBKMT
Tcf4,TCF4
Sh3bp5,SH3BP5
Hcar1,HCAR1
Hcar2,HCAR2
Hcar2,HCAR3
Nanog,NANOG
Nanog,NANOGP1
Nanog,NANOGP8
Wnt6,WNT6
Alkal2,ALKAL2
Trpm6,TRPM6
Rbfox3,RBFOX3
P2ry2,P2RY2
Spata17,SPATA17
Ank2,ANK2
Pde1c,PDE1C
Gabra3,GABRA3
Pex5l,PEX5L
Jcad,JCAD
Crp,CRP
Cep295,CEP295
Patz1,PATZ1
Aadat,AADAT
2700049A03Rik,KIAA0586
Poldip3,POLDIP3
Ptger1,PTGER1
Mtcp1,CMC4
Mtcp1,MTCP1
Slc39a8,SLC39A8
Sgpp2,SGPP2
Irag1,IRAG1
Adm,ADM
Pfkfb2,PFKFB2
Plec,PLEC
Greb1,GREB1
Gulp1,GULP1
Clec3b,CLEC3B
Cdcp1,CDCP1
Bod1l,BOD1L1
Chmp5,CHMP5
Rp2,RP2
Dsg3,DSG3
Dsg1a,DSG1
Dsg4,DSG4
Dsg2,DSG2
Dsg1b,DSG1
Dsg1c,DSG1
Ano3,ANO3
Tgm5,TGM5
Tgm6,TGM6
Tgm3,TGM3
Epb42,EPB42
Csrnp3,CSRNP3
Grb14,GRB14
Cobll1,COBLL1
Gpbar1,GPBAR1
Gdf10,GDF10
Mms19,MMS19
Msi1,MSI1
Ercc2,ERCC2
Lrp8,LRP8
Pla2r1,PLA2R1
Adamts12,ADAMTS12
Tnfsf12,TNFSF12
Tnfsf12,TNFSF12-TNFSF13
Tnfsfm13,TNFSF12-TNFSF13
Tnfsf13,TNFSF13
Dgki,DGKI
Tmem209,TMEM209
Strip2,STRIP2
Snapc2,SNAPC2
Trpc4,TRPC4
Arhgap31,ARHGAP31
Rasip1,RASIP1
Cckar,CCKAR
Stim2,STIM2
Wdr25,WDR25
Inpp5b,INPP5B
Wdr20rt,WDR20
Plekho2,PLEKHO2
Prlh,PRLH
Bahd1,BAHD1
Rpusd2,RPUSD2
Dpep3,DPEP3
Dpep2,DPEP2
Meioc,MEIOC
Trp53inp2,TP53INP2
Ccdc17,CCDC17
Faim2,FAIM2
Snapc4,SNAPC4
Nav2,NAV2
Tnrc6a,TNRC6A
Unc13b,UNC13B
Atp8b5,ATP8B5P
Sema4b,SEMA4B
Zfp710,ZNF710
Wnt3a,WNT3A
Bbs9,BBS9
Usp11,USP11
Adcy5,ADCY5
Ccl21b,CCL21
Ap5z1,AP5Z1
Ptger3,PTGER3
Lpar6,LPAR6
Slc2a10,SLC2A10
Ttyh3,TTYH3
Il6,IL6
Adra1b,ADRA1B
Akap17b,AKAP17A
Akap17b,AKAP17BP
Tmem100,TMEM100
Hc,C5
Frmd5,FRMD5
Nfx1,NFX1
Marco,MARCO
Uts2b,UTS2B
Otos,OTOS
Cntrl,CNTRL
Spire1,SPIRE1
Tac2,TAC3
Cyth3,CYTH3
Ankrd40cl,ANKRD40CL
Ankrd40,ANKRD40
Dhx58,DHX58
Fcho1,FCHO1
Mgmt,MGMT
Bsn,BSN
Atox1,ATOX1
Ccdc69,CCDC69
Mtbp,MTBP
Eng,ENG
Abra,ABRA
Vegfb,VEGFB
Il21,IL21
Ptgir,PTGIR
Dnaaf5,DNAAF5
Nthl1,NTHL1
Scube1,SCUBE1
Plppr3,PLPPR3
Arhgap35,ARHGAP35
Sowahd,SOWAHD
Atp13a3,ATP13A3
Xxylt1,XXYLT1
Usp43,USP43
Rhbdl1,RHBDL1
Rfwd3,RFWD3
Piezo1,PIEZO1
Rp1l1,RP1L1
4930578I06Rik,C8orf74
Tac4,TAC4
Tacr3,TACR3
Zbtb40,ZBTB40
Bicd2,BICD2
Tgm1,TGM1
Shoc2,SHOC2
Dock6,DOCK6
Ubap1l,UBAP1L
Drc7,DRC7
Arhgap27,ARHGAP27
Tcte1,TCTE1
Gemin7,GEMIN7
Wdr27,WDR27
Selplg,SELPLG
Hsph1,HSPH1
Tex26,TEX26
Notum,NOTUM
Rlim,RLIM
Chrnb4,CHRNB4
Eif4g3,EIF4G3
Gpr37l1,GPR37L1
Klhdc8a,KLHDC8A
Mthfr,MTHFR
Evl,EVL
Etl4,KIAA1217
Wwp2,WWP2
Siah1a,SIAH1
Siah1b,SIAH1
Rnd3,RND3
Papss2,PAPSS2
Eif4h,EIF4H
Ncoa2,NCOA2
Cct6a,CCT6A
Cct6b,CCT6B
Atp6v0c,ATP6V0C
Lgmn,LGMN
Ranbp9,RANBP9
Arcn1,ARCN1
Pwp2,PWP2
Klf6,KLF6
Bckdk,BCKDK
Npc2,NPC2
Timm9,TIMM9
Farsb,FARSB
Isg15,ISG15
Lpar5,LPAR5
H1f10,H1-10
Uap1,UAP1
Gmpr2,GMPR2
Uqcrc2,UQCRC2
Chpt1,CHPT1
Ecsit,ECSIT
Nprl3,NPRL3
Tomm40,TOMM40
Serhl,SERHL
Serhl,SERHL2
Plpbp,PLPBP
Dus1l,DUS1L
Aftph,AFTPH
Alox15,ALOX15
Alox12,ALOX12
Zrsr2,ZRSR2
Zrsr2,ZRSR2P1
Zrsr1,ZRSR2
Morc3,MORC3
Zfp770,ZNF770
Csrnp1,CSRNP1
Map2k5,MAP2K5
Ldlrad3,LDLRAD3
Ubr7,UBR7
Pkn3,PKN3
Pik3cb,PIK3CB
Marcks,MARCKS
Snx4,SNX4
Lasp1,LASP1
Wsb1,WSB1
Usp8,USP8
Gtf2h2,GTF2H2
Gtf2h2,GTF2H2C
Cic,CIC
Troap,TROAP
Ddx20,DDX20
Rps28,RPS28
Taf9,TAF9
Taf9b,TAF9B
Mat2a,MAT2A
Clcn6,CLCN6
Sin3a,SIN3A
Ogdh,OGDH
Flna,FLNA
Mphosph10,MPHOSPH10
Nfyc,NFYC
Cemip2,CEMIP2
Mtg2,MTG2
Nsrp1,NSRP1
Mtmr14,MTMR14
Wnk1,WNK1
Tmed2,TMED2
Psmd11,PSMD11
Pigc,PIGC
Dnajb12,DNAJB12
Ube2d1,UBE2D1
Prpf40b,PRPF40B
Prpf40a,PRPF40A
Eif3b,EIF3B
Hnrnph2,HNRNPH2
Hnrnpf,HNRNPF
Hnrnph1,HNRNPH1
C1galt1c1,C1GALT1C1
Bcar1,BCAR1
Adi1,ADI1
Polr2g,POLR2G
Cd82,CD82
Sp1,SP1
Myom1,MYOM1
Iqgap2,IQGAP2
Dnaja2,DNAJA2
Txlna,TXLNA
Lpgat1,LPGAT1
Maea,MAEA
Trim37,TRIM37
Cstf1,CSTF1
Stub1,STUB1
Rnf10,RNF10
Orc6,ORC6
Qser1,QSER1
Farp2,FARP2
Mllt11,MLLT11
Dapk3,DAPK3
Dazap2,DAZAP2
Ercc3,ERCC3
Usp19,USP19
Naa35,NAA35
Slc44a2,SLC44A2
Eif2s2,EIF2S2
Septin8,SEPTIN8
Fkbp10,FKBP10
Hmox1,HMOX1
Pan2,PAN2
Chsy1,CHSY1
Phb2,PHB2
Hmga2,HMGA2
Dhodh,DHODH
Cxxc5,CXXC5
Scamp5,SCAMP5
Zdhhc6,ZDHHC6
Eme1,EME1
Ubiad1,UBIAD1
Oga,OGA
Tmem165,TMEM165
Hdac6,HDAC6
Ppp6r3,PPP6R3
Ppp6r1,PPP6R1
Cyb5r3,CYB5R3
Zfyve26,ZFYVE26
Gosr2,GOSR2
Ogfod1,OGFOD1
Mpc2,MPC2
Hltf,HLTF
Fam234b,FAM234B
Micu2,MICU2
Aup1,AUP1
Tsc1,TSC1
Arl11,ARL11
Snupn,SNUPN
Mthfsd,MTHFSD
Med13,MED13
Ctsh,CTSH
Actr6,ACTR6
Rprd1b,RPRD1B
Sec22a,SEC22A
Nt5c2,NT5C2
Zcchc24,ZCCHC24
Pofut2,POFUT2
Sema7a,SEMA7A
Usp7,USP7
Magt1,MAGT1
Sephs1,SEPHS1
Wdr12,WDR12
Slc6a11,SLC6A11
Tsr1,TSR1
Tnik,TNIK
Ogfr,OGFR
Prr14l,PRR14L
Prr14,PRR14
Thoc5,THOC5
Ssh2,SSH2
Pld6,PLD6
Mms22l,MMS22L
Gpd1,GPD1
Mepce,MEPCE
Ell,ELL
Api5,API5
Drap1,DRAP1
Wbp2nl,WBP2NL
Nsun2,NSUN2
Pigp,PIGP
Calr,CALR
Ccdc102a,CCDC102A
Khdc4,KHDC4
Dhx57,DHX57
Ube2e3,UBE2E3
Mier1,MIER1
Mob3a,MOB3A
Scrt2,SCRT2
Irf2,IRF2
Pkp1,PKP1
Kdelr1,KDELR1
Kdelr2,KDELR2
Fbxo9,FBXO9
Ube2a,UBE2A
Zswim7,ZSWIM7
Tspear,TSPEAR
Ddx39a,DDX39A
Guf1,GUF1
Psmd9,PSMD9
Cops4,COPS4
Nkx2-9,NKX2-8
Rpl27,RPL27
Khsrp,KHSRP
Nt5c3,NT5C3A
Nckap1,NCKAP1
Atp6v0b,ATP6V0B
Pdss1,PDSS1
Ppp4c,PPP4C
Zbtb48,ZBTB48
Dhx37,DHX37
Nucks1,NUCKS1
Gtf2f1,GTF2F1
Sap30bp,SAP30BP
Ipo7,IPO7
Ttpa,TTPA
Hexim2,HEXIM2
Hexim1,HEXIM1
Wdr36,WDR36
Nr5a1,NR5A1
Tmem9b,TMEM9B
Ssbp4,SSBP4
Habp2,HABP2
Slc6a19,SLC6A19
Nucb2,NUCB2
Ndufs1,NDUFS1
Scrn3,SCRN3
Mta2,MTA2
Ccnl1,CCNL1
Ccnl2,CCNL2
Slc14a2,SLC14A2
Slc14a1,SLC14A1
Ss18,SS18
Gpd2,GPD2
Nsa2,NSA2
Nsa2-ps1,NSA2
Ssr4,SSR4
Fam13b,FAM13B
Esf1,ESF1
Pif1,PIF1
Zfp839,ZNF839
Ash2l,ASH2L
Sgsh,SGSH
Rbms1,RBMS1
Cdk13,CDK13
Lrrc42,LRRC42
Plscr5,PLSCR5
Plscr2,PLSCR1
Plscr2,PLSCR2
Plscr1,PLSCR1
Pttg1ip,PTTG1IP
Gclc,GCLC
Ola1,OLA1
Gopc,GOPC
Hmg20a,HMG20A
Ak2,AK2
Myo1e,MYO1E
Fkbp4,FKBP4
Wrap53,WRAP53
Atp5l,ATP5MG
Atp5l,ATP5MGL
Gm10221,ATP5MG
Gm10221,ATP5MGL
Csgalnact2,CSGALNACT2
Snrpd3,SNRPD3
Pdlim1,PDLIM1
Capza2,CAPZA2
1110059G10Rik,KIAA1143
Sec23ip,SEC23IP
Rrp15,RRP15
Uck2,UCK2
Arpc2,ARPC2
